month,column,effective_missing_n,effective_missing_rate
2010-05,event_count_explosions,0,0.0
2010-05,event_count_violence,0,0.0
2010-05,sum_fatalities_battles,0,0.0
2010-05,sum_fatalities_explosions,0,0.0
2010-05,sum_fatalities_violence,0,0.0
2010-05,event_count_battles_w5,0,0.0
2010-05,event_count_explosions_w5,0,0.0
2010-05,event_count_violence_w5,0,0.0
2010-05,sum_fatalities_battles_w5,0,0.0
2010-05,sum_fatalities_explosions_w5,0,0.0
2010-05,sum_fatalities_violence_w5,0,0.0
2010-05,event_count_battles_w10,0,0.0
2010-05,event_count_explosions_w10,0,0.0
2010-05,event_count_violence_w10,0,0.0
2010-05,sum_fatalities_battles_w10,0,0.0
2010-05,sum_fatalities_explosions_w10,0,0.0
2010-05,sum_fatalities_violence_w10,0,0.0
2010-05,AEZ_10000,0,0.0
2010-05,AEZ_12000,0,0.0
2010-05,AEZ_15000,0,0.0
2010-05,AEZ_17000,0,0.0
2010-05,AEZ_19000,0,0.0
2010-05,AEZ_25000,0,0.0
2010-05,AEZ_31000,0,0.0
2010-05,AEZ_32000,0,0.0
2010-05,AEZ_33000,0,0.0
2010-05,AEZ_34000,0,0.0
2010-05,AEZ_36000,0,0.0
2010-05,AEZ_38000,0,0.0
2010-05,AEZ_4000,0,0.0
2010-05,AEZ_40000,0,0.0
2010-05,AEZ_43000,0,0.0
2010-05,AEZ_7000,0,0.0
2010-05,AEZ_9000,0,0.0
2010-05,crop,0,0.0
2010-05,range,0,0.0
2010-05,distance_to_river,0,0.0
2010-05,nightlight,0,0.0
2010-05,nightlight_sd,0,0.0
2010-05,elevation,0,0.0
2010-05,EVI,0,0.0
2010-05,market_distance,0,0.0
2010-05,FAO_price,0,0.0
2010-05,Rainf_f_tavg_mean,0,0.0
2010-05,Tair_f_tavg_mean,0,0.0
2010-05,gpp_mean,0,0.0
2010-05,sg_cec_5-15cm,0,0.0
2010-05,sg_cfvo_5-15cm,0,0.0
2010-05,sg_nitrogen_5-15cm,0,0.0
2010-05,sg_phh2o_5-15cm,0,0.0
2010-05,sg_soc_5-15cm,0,0.0
2010-05,market_access,0,0.0
2010-05,ruggedness,0,0.0
2010-05,slope,0,0.0
2010-05,CPI,0,0.0
2010-05,GDP,0,0.0
2010-05,CC,0,0.0
2010-05,gini,0,0.0
2010-05,WFP_Price,0,0.0
2010-05,WFP_Price_std,0,0.0
2010-05,fews_ipc,1040,1.0
2010-05,fews_ha,1040,1.0
2010-05,fews_proj_near,1040,1.0
2010-05,fews_proj_near_ha,1040,1.0
2010-05,fews_proj_med,1040,1.0
2010-05,fews_proj_med_ha,1040,1.0
2010-05,pop,1040,1.0
2010-05,fews_ipc_adjusted,1040,1.0
2010-05,fews_proj_med_adjusted,1040,1.0
2010-05,ISO3,0,0.0
2010-05,Food_CPI,0,0.0
2010-05,Food_food_inflation,0,0.0
2010-05,Tair_zscore,16,0.015384615384615385
2010-05,Rainf_zscore,16,0.015384615384615385
2010-05,fews_ipc_crisis,1040,1.0
2010-06,unit_name,0,0.0
2010-06,ADMIN0,0,0.0
2010-06,ADMIN1,0,0.0
2010-06,ADMIN2,0,0.0
2010-06,ADMIN3,0,0.0
2010-06,FEWSNET_admin_code,0,0.0
2010-06,ISO,0,0.0
2010-06,lat,0,0.0
2010-06,lon,0,0.0
2010-06,date,0,0.0
2010-06,month,0,0.0
2010-06,distance_to_nearest_acled,0,0.0
2010-06,event_count_battles,0,0.0
2010-06,event_count_explosions,0,0.0
2010-06,event_count_violence,0,0.0
2010-06,sum_fatalities_battles,0,0.0
2010-06,sum_fatalities_explosions,0,0.0
2010-06,sum_fatalities_violence,0,0.0
2010-06,event_count_battles_w5,0,0.0
2010-06,event_count_explosions_w5,0,0.0
2010-06,event_count_violence_w5,0,0.0
2010-06,sum_fatalities_battles_w5,0,0.0
2010-06,sum_fatalities_explosions_w5,0,0.0
2010-06,sum_fatalities_violence_w5,0,0.0
2010-06,event_count_battles_w10,0,0.0
2010-06,event_count_explosions_w10,0,0.0
2010-06,event_count_violence_w10,0,0.0
2010-06,sum_fatalities_battles_w10,0,0.0
2010-06,sum_fatalities_explosions_w10,0,0.0
2010-06,sum_fatalities_violence_w10,0,0.0
2010-06,AEZ_10000,0,0.0
