column,all_missing_start,all_missing_end,consecutive_months
pop,2011-08,2011-09,2
pop,2011-11,2011-12,2
pop,2012-02,2012-03,2
pop,2012-05,2012-06,2
pop,2012-08,2012-09,2
pop,2012-11,2012-12,2
pop,2013-02,2013-03,2
pop,2013-05,2013-06,2
pop,2013-08,2013-09,2
pop,2013-11,2013-12,2
pop,2014-02,2014-03,2
pop,2014-05,2014-06,2
pop,2014-08,2014-09,2
pop,2014-11,2014-12,2
pop,2015-02,2015-03,2
pop,2015-05,2015-06,2
pop,2015-08,2015-09,2
pop,2024-11,2024-12,2
WFP_Price,2018-04,2018-04,1
WFP_Price,2018-09,2018-09,1
WFP_Price,2021-05,2021-05,1
WFP_Price,2023-08,2023-08,1
WFP_Price_std,2011-12,2011-12,1
WFP_Price_std,2018-04,2018-04,1
WFP_Price_std,2018-09,2018-09,1
WFP_Price_std,2021-05,2021-05,1
WFP_Price_std,2023-08,2023-08,1
