column,feature_family,finite_n,raw_null_n,inf_n,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,zero_rate_finite,negative_rate_finite,unique_finite
distance_to_river,terrain_access,187200,0,0,717.7496153846154,1316.2033523313303,0.0,0.0,0.0,30.5,238.2,680.0500000000001,4667.9,6004.4,6066.6,0.1451923076923077,0.0,700
nightlight,remote_sensing,187200,0,0,0.2880602519014396,1.3105121950109175,0.0,0.0,0.0,0.0,0.1304296099365,0.2793329685755,0.7332813176773499,2.9036932622097145,104.536720276,0.3073450854700855,0.0,128484
nightlight_sd,remote_sensing,187200,0,0,0.11227950659030067,0.5304195929702616,0.0,0.0,0.0,0.0,0.0197969616951,0.04816338549935,0.4253140084312997,1.9313592003481217,35.248014444,0.25922542735042736,0.0,138614
elevation,terrain_access,187200,0,0,1768.1480769230768,643.5068911814433,-1.0,350.0,531.8500000000022,1393.5,1835.0,2207.0,2719.699999999837,3112.0,4033.0,0.0,0.0009615384615384616,830
EVI,remote_sensing,187200,0,0,2895.0755769709203,1378.671707409396,0.0,620.27476768851,1120.4128105465,1725.0,2650.867518475,3959.3620218175,5370.473048608,5877.7649587619,7316.6,0.006372863247863248,0.0,181759
market_distance,terrain_access,186271,929,0,135.92479118527635,83.40637489176123,0.2554392647453413,1.9782771041707805,26.640058726815344,76.94105631294467,120.62854841741316,180.49507301077568,296.6439968746635,376.83518508318735,499.6532202195543,0.0,0.0,3462
FAO_price,price,186271,929,0,108.02908801393212,82.45156109182594,22.980000000000004,47.85,59.37,77.36,94.155,116.8,180.2880555555556,217.52,1000.0,0.0,0.0,2799
Rainf_f_tavg_mean,weather_derived,187200,0,0,2.955422461530833e-05,3.501327318195175e-05,0.0,0.0,0.0,2.80174375196e-06,1.3805049851100001e-05,4.76535310554e-05,0.00010476916707819996,0.00013563152949011006,0.000230682897381,0.07727029914529915,0.0,153270
Tair_f_tavg_mean,weather_derived,187200,0,0,293.1876546740136,4.236431201544676,280.270568848,284.64787002531,286.53301357739997,290.39602508525,292.751377106,295.85305404625,300.71638163215,303.92190030455004,311.073531106,0.0,0.0,156800
gpp_mean,remote_sensing,187200,0,0,11865.708241473805,8845.384457493134,130.252525253,1236.744240305,2060.426358377,4427.6388888925,9317.642413485,17710.08392855,29328.883881579997,34195.69600003303,44832.25,0.0,0.0,158248
sg_cec_5-15cm,soil,187200,0,0,328.84326923076924,83.4655165761729,131.0,177.0,219.0,265.0,312.5,388.0,474.04999999998836,547.0,634.0,0.0,0.0,313
sg_cfvo_5-15cm,soil,187200,0,0,156.26538461538462,56.334239355046826,52.0,61.0,80.95000000000073,117.0,148.0,185.25,266.0,330.0,414.0,0.0,0.0,231
sg_nitrogen_5-15cm,soil,187200,0,0,2086.980769230769,779.9136200116105,603.0,816.0,943.8500000000022,1550.75,1972.0,2571.25,3520.149999999965,4228.0,5433.0,0.0,0.0,812
sg_phh2o_5-15cm,soil,187200,0,0,66.11442307692307,7.941476685630965,52.0,53.0,55.95000000000073,59.0,65.0,72.0,80.0,82.0,84.0,0.0,0.0,33
sg_soc_5-15cm,soil,187200,0,0,247.5173076923077,87.89210280688651,54.0,83.0,113.95000000000073,179.75,241.0,308.0,400.04999999998836,451.0,513.0,0.0,0.0,331
market_access,terrain_access,187200,0,0,420.2173076923077,377.4534515297848,0.0,2.0,24.950000000000728,137.0,296.0,623.75,1140.149999999965,1720.0,2450.0,0.0009615384615384616,0.0,633
ruggedness,terrain_access,187200,0,0,0.7753305183361584,0.17931759724904237,0.0001748863238894,0.2240293809024134,0.3924711437565604,0.7048793284365162,0.8216159496327387,0.9061297656523258,0.9732598810772957,0.9921301154249738,0.9986009094088842,0.0,0.0,840
slope,terrain_access,187200,0,0,0.3496408581554603,0.24822126250866755,0.006400735117495,0.0151579780504107,0.03488380294293168,0.1590683907270431,0.2844524532556534,0.5004146546125412,0.8548730909824259,1.0,1.0,0.0,0.0,1026
CPI,macro,174720,12480,0,17.65607681192857,9.838964790929403,6.628133372,6.628133372,6.628133372,8.14926403,14.821333915,26.83952216,33.88987971,33.88987971,33.88987971,0.0,0.0,14
GDP,macro,174720,12480,0,2107.0689155,442.6981268451247,1381.190376,1381.190376,1381.190376,1696.865069,2153.83429,2516.548947,2755.457096,2755.457096,2755.457096,0.0,0.0,14
CC,macro,174720,12480,0,36.168222427857145,4.2088342378155685,27.01421738,27.01421738,27.01421738,33.33333206,37.8252697,38.57143021,40.86538315,40.86538315,40.86538315,0.0,0.0,13
gini,macro,74880,112320,0,0.3408186202295,0.006225140724829259,0.331706008147,0.331706008147,0.331706008147,0.33535105298,0.3408186202295,0.346286187479,0.349931232312,0.349931232312,0.349931232312,0.0,0.0,6
WFP_Price,price,176800,10400,0,587.1913880986739,902.8657774327955,4.9157125,5.049688888888889,5.63812,8.98937777777778,11.262585000000001,1275.29283,2450.8717368421053,2519.8474736842104,3177.7063692307693,0.0,0.0,158
WFP_Price_std,price,175760,11440,0,631.3443163046859,992.0362343279281,0.0095459415460187,0.0858427632360459,0.6821459118106628,1.06622723401742,1.637164330481212,1089.6974375672633,2907.2326962385155,2907.2326962385155,2907.2326962385155,0.0,0.0,157
fews_ipc,ipc_target_projection,51900,135300,0,1.7235838150289018,0.8214983288097213,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,0.0,0.0,4
fews_ha,ipc_target_projection,42643,144557,0,0.10123584175597401,0.3016442935723156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.898764158244026,0.0,2
fews_proj_near,ipc_target_projection,46642,140558,0,1.7050083615625402,0.8374477880852598,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,0.0,0.0,4
fews_proj_near_ha,ipc_target_projection,42536,144664,0,0.09516644724468686,0.29344815386901624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9048335527553132,0.0,2
fews_proj_med,ipc_target_projection,46642,140558,0,1.7049226019467434,0.837417573609523,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,0.0,0.0,4
fews_proj_med_ha,ipc_target_projection,42536,144664,0,0.06737822080120369,0.25067882538566755,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9326217791987963,0.0,2
pop,agriculture_population,53040,134160,0,97945.52071162603,76785.16990631503,0.0,248.4905243,1148.456543,39067.04297,86832.19375,139223.8594,238530.5,337535.5938,628203.9375,0.0028846153846153848,0.0,11408
fews_ipc_adjusted,ipc_target_projection,51900,135300,0,1.8067630057803468,0.9076197454246194,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,0.0,0.0,5
fews_proj_med_adjusted,ipc_target_projection,46642,140558,0,1.7663693666652374,0.9123261911757861,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,5
Food_CPI,macro,168480,18720,0,147.91998593209877,98.81106985178425,43.841643,43.857561,45.640492,84.111775,108.2512145,176.476039,385.703358,436.436864,451.560383,0.0,0.0,161
Food_food_inflation,macro,168480,18720,0,18.49156083950617,13.639749823879587,-1.550494,-1.061988,1.396153,7.160584,14.009390499999999,25.899391,44.157565,51.263532,51.657843,0.0,0.037037037037037035,162
Tair_zscore,weather_derived,184320,0,2880,1.233785335151975e-13,0.9972210585823591,-7.542462577995349,-3.048120526764101,-1.1317090039683595,-0.3667552643780045,-0.0992706976476143,0.3122326944764743,1.351264385096403,3.688271526488374,10.461080785695447,0.0,0.5611870659722222,160992
Rainf_zscore,weather_derived,184320,0,2880,2.7329122761117948e-17,0.9972210585823585,-6.2079826730955165,-2.435359635038188,-1.4107781351142583,-0.45020183983793705,-0.15337441618761388,0.45676973194650883,1.5263031712435302,3.112139396034703,7.665005493376685,0.0,0.5688856336805556,157560
fews_ipc_crisis,ipc_target_projection,51900,135300,0,0.18847784200385356,0.39109703683831404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8115221579961465,0.0,2
