scope,horizon_months,forecasting_horizon,target_month,group,display_group,raw_mean_abs_shap,group_share,matched_feature_count,normalization_denominator,fallback_samples,evaluated_samples
fs2,8,8-month horizon,2024-02,agri,Agri,0.03489244108007779,0.0789659451631431,24,0.441866946669102,53,459
fs2,8,8-month horizon,2024-02,conflict,Conflict,0.07038312884222832,0.15928579716766114,38,0.441866946669102,53,459
fs2,8,8-month horizon,2024-02,econ,Econ,0.09925907544451176,0.2246356650859501,16,0.441866946669102,53,459
fs2,8,8-month horizon,2024-02,food_prices,Food Prices,0.020950876556266748,0.047414446168013775,6,0.441866946669102,53,459
fs2,8,8-month horizon,2024-02,geographic,Geographic,0.04739195531569842,0.10725390453608317,8,0.441866946669102,53,459
fs2,8,8-month horizon,2024-02,lag,Lag,0.13844518583946136,0.31331871931832433,6,0.441866946669102,53,459
fs2,8,8-month horizon,2024-06,weather,Weather,0.03380149854268618,0.07699671269966861,8,0.43899924240313265,40,472
fs2,8,8-month horizon,2024-06,agri,Agri,0.027569051462767332,0.06279977002204185,24,0.43899924240313265,40,472
fs2,8,8-month horizon,2024-06,conflict,Conflict,0.06768945265434737,0.15419036325394883,38,0.43899924240313265,40,472
fs2,8,8-month horizon,2024-06,econ,Econ,0.09993095827403353,0.22763355519020922,16,0.43899924240313265,40,472
fs2,8,8-month horizon,2024-06,food_prices,Food Prices,0.017477199556221026,0.03981145721470682,6,0.43899924240313265,40,472
fs2,8,8-month horizon,2024-06,geographic,Geographic,0.0424770841103803,0.0967589007166751,8,0.43899924240313265,40,472
fs2,8,8-month horizon,2024-06,lag,Lag,0.15005399780269693,0.3418092409027496,6,0.43899924240313265,40,472
fs2,8,8-month horizon,2024-10,weather,Weather,0.03295169771071145,0.07261978511966906,8,0.45375647499384414,24,488
fs2,8,8-month horizon,2024-10,agri,Agri,0.03285818996501171,0.07241371038387381,24,0.45375647499384414,24,488
fs2,8,8-month horizon,2024-10,conflict,Conflict,0.07191123368483604,0.15847979620745162,38,0.45375647499384414,24,488
fs2,8,8-month horizon,2024-10,econ,Econ,0.11754552673502967,0.2590498058162682,16,0.45375647499384414,24,488
fs2,8,8-month horizon,2024-10,food_prices,Food Prices,0.018737480346475925,0.04129413326108487,6,0.45375647499384414,24,488
fs2,8,8-month horizon,2024-10,geographic,Geographic,0.03796209543662016,0.08366182639517192,8,0.45375647499384414,24,488
fs2,8,8-month horizon,2024-10,lag,Lag,0.1417902511151592,0.31248094281648053,6,0.45375647499384414,24,488
fs3,12,12-month horizon,2021-02,weather,Weather,0.03607342970324723,0.08842026054960002,8,0.40797696680628487,32,480
fs3,12,12-month horizon,2021-02,agri,Agri,0.032689142857330496,0.08012497154735677,24,0.40797696680628487,32,480
fs3,12,12-month horizon,2021-02,conflict,Conflict,0.06263992925063762,0.15353790617395377,38,0.40797696680628487,32,480
fs3,12,12-month horizon,2021-02,econ,Econ,0.09468540484170529,0.23208517280502186,16,0.40797696680628487,32,480
fs3,12,12-month horizon,2021-02,food_prices,Food Prices,0.023789933601568055,0.058311952725664445,6,0.40797696680628487,32,480
fs3,12,12-month horizon,2021-02,geographic,Geographic,0.04447929531734182,0.10902403551242987,8,0.40797696680628487,32,480
fs3,12,12-month horizon,2021-02,lag,Lag,0.11361983123445435,0.27849570068597324,6,0.40797696680628487,32,480
fs3,12,12-month horizon,2021-06,weather,Weather,0.0367526254319757,0.08236307905839214,8,0.4462269484354701,23,489
fs3,12,12-month horizon,2021-06,agri,Agri,0.03472946596353581,0.07782915416763117,24,0.4462269484354701,23,489
fs3,12,12-month horizon,2021-06,conflict,Conflict,0.07775909840984946,0.1742590820264957,38,0.4462269484354701,23,489
fs3,12,12-month horizon,2021-06,econ,Econ,0.10943931150551181,0.24525482355832678,16,0.4462269484354701,23,489
fs3,12,12-month horizon,2021-06,food_prices,Food Prices,0.029820464683295585,0.06682802279837653,6,0.4462269484354701,23,489
fs3,12,12-month horizon,2021-06,geographic,Geographic,0.03450402621223628,0.0773239409524949,8,0.4462269484354701,23,489
fs3,12,12-month horizon,2021-06,lag,Lag,0.1232219562290655,0.2761418974382828,6,0.4462269484354701,23,489
fs3,12,12-month horizon,2021-10,weather,Weather,0.03040327321817514,0.07201296099650281,8,0.42219168323951606,24,488
fs3,12,12-month horizon,2021-10,agri,Agri,0.03147007230536934,0.07453977317576829,24,0.42219168323951606,24,488
fs3,12,12-month horizon,2021-10,conflict,Conflict,0.07951102324441178,0.18832920306320652,38,0.42219168323951606,24,488
fs3,12,12-month horizon,2021-10,econ,Econ,0.10891700147737078,0.2579799787661389,16,0.42219168323951606,24,488
fs3,12,12-month horizon,2021-10,food_prices,Food Prices,0.024785623083699193,0.058707037745312274,6,0.42219168323951606,24,488
fs3,12,12-month horizon,2021-10,geographic,Geographic,0.038690468509127836,0.09164194853923287,8,0.42219168323951606,24,488
fs3,12,12-month horizon,2021-10,lag,Lag,0.108414221401362,0.2567890977138384,6,0.42219168323951606,24,488
fs3,12,12-month horizon,2022-02,weather,Weather,0.03818538679869627,0.09123838459336212,8,0.4185232670315645,33,479
fs3,12,12-month horizon,2022-02,agri,Agri,0.03351537662792968,0.08008007981406202,24,0.4185232670315645,33,479
fs3,12,12-month horizon,2022-02,conflict,Conflict,0.0713295808953458,0.1704315781563614,38,0.4185232670315645,33,479
fs3,12,12-month horizon,2022-02,econ,Econ,0.09872446061785901,0.23588762774905256,16,0.4185232670315645,33,479
