scope,forecasting_horizon,model,recall,precision,threshold,average_precision
fs1,4-month horizon,partitioned,0.5430190339971394,0.7902489792650709,0.58,0.7678856116105378
fs1,4-month horizon,partitioned,0.5298162614148971,0.7954902122738912,0.59,0.7678856116105378
fs1,4-month horizon,partitioned,0.5178237429860271,0.8000169981302057,0.6,0.7678856116105378
fs1,4-month horizon,partitioned,0.505336120585323,0.8048716376062385,0.61,0.7678856116105378
fs1,4-month horizon,partitioned,0.4948289140719551,0.8099225643796146,0.62,0.7678856116105378
fs1,4-month horizon,partitioned,0.48410166134888327,0.8167053364269141,0.63,0.7678856116105378
fs1,4-month horizon,partitioned,0.4732093739685334,0.8231578947368421,0.64,0.7678856116105378
fs1,4-month horizon,partitioned,0.46017163604356914,0.8287101248266296,0.65,0.7678856116105378
fs1,4-month horizon,partitioned,0.4481241060622731,0.833947583947584,0.66,0.7678856116105378
fs1,4-month horizon,partitioned,0.43668170315766314,0.8386687797147385,0.67,0.7678856116105378
fs1,4-month horizon,partitioned,0.4252393002530531,0.8437022484173761,0.68,0.7678856116105378
fs1,4-month horizon,partitioned,0.41159643525140277,0.847242667874533,0.69,0.7678856116105378
fs1,4-month horizon,partitioned,0.3997689514798108,0.850339340042125,0.7,0.7678856116105378
fs1,4-month horizon,partitioned,0.38684123665969855,0.8553703928962413,0.71,0.7678856116105378
fs1,4-month horizon,partitioned,0.3749037297832545,0.8584204559768233,0.72,0.7678856116105378
fs1,4-month horizon,partitioned,0.36142589943888215,0.8615263571990559,0.73,0.7678856116105378
fs1,4-month horizon,partitioned,0.34932335790516006,0.8645336963921034,0.74,0.7678856116105378
fs1,4-month horizon,partitioned,0.3343052040928595,0.8649302590378594,0.75,0.7678856116105378
fs1,4-month horizon,partitioned,0.3215975354824513,0.8681318681318682,0.76,0.7678856116105378
fs1,4-month horizon,partitioned,0.3087798437671911,0.8728036075260457,0.77,0.7678856116105378
fs1,4-month horizon,partitioned,0.2940367477170206,0.8746522664048437,0.78,0.7678856116105378
fs1,4-month horizon,partitioned,0.27951369787655406,0.8761855492326263,0.79,0.7678856116105378
fs1,4-month horizon,partitioned,0.2644955440642535,0.8772121875570151,0.8,0.7678856116105378
fs1,4-month horizon,partitioned,0.25085267906260317,0.8797993440092611,0.81,0.7678856116105378
fs1,4-month horizon,partitioned,0.23643965232698866,0.8832716810521989,0.82,0.7678856116105378
fs1,4-month horizon,partitioned,0.2244471338981186,0.8865710560625815,0.83,0.7678856116105378
