position,name,block
386,hist_severity_index_m36_std,window_statistics
387,hist_severity_index_m36_min,window_statistics
388,hist_severity_index_m36_max,window_statistics
389,hist_severity_index_m36_latest_minus_mean,window_statistics
390,hist_severity_index_m36_slope,window_statistics
391,hist_severity_index_all_mean,window_statistics
392,hist_severity_index_all_std,window_statistics
393,hist_severity_index_all_min,window_statistics
394,hist_severity_index_all_max,window_statistics
395,hist_severity_index_all_latest_minus_mean,window_statistics
396,hist_severity_index_all_slope,window_statistics
397,hist_entropy_m06_mean,window_statistics
398,hist_entropy_m06_std,window_statistics
399,hist_entropy_m06_min,window_statistics
400,hist_entropy_m06_max,window_statistics
401,hist_entropy_m06_latest_minus_mean,window_statistics
402,hist_entropy_m06_slope,window_statistics
403,hist_entropy_m12_mean,window_statistics
404,hist_entropy_m12_std,window_statistics
405,hist_entropy_m12_min,window_statistics
406,hist_entropy_m12_max,window_statistics
407,hist_entropy_m12_latest_minus_mean,window_statistics
408,hist_entropy_m12_slope,window_statistics
409,hist_entropy_m24_mean,window_statistics
410,hist_entropy_m24_std,window_statistics
411,hist_entropy_m24_min,window_statistics
412,hist_entropy_m24_max,window_statistics
413,hist_entropy_m24_latest_minus_mean,window_statistics
414,hist_entropy_m24_slope,window_statistics
415,hist_entropy_m36_mean,window_statistics
416,hist_entropy_m36_std,window_statistics
417,hist_entropy_m36_min,window_statistics
418,hist_entropy_m36_max,window_statistics
419,hist_entropy_m36_latest_minus_mean,window_statistics
420,hist_entropy_m36_slope,window_statistics
421,hist_entropy_all_mean,window_statistics
422,hist_entropy_all_std,window_statistics
423,hist_entropy_all_min,window_statistics
424,hist_entropy_all_max,window_statistics
425,hist_entropy_all_latest_minus_mean,window_statistics
426,hist_entropy_all_slope,window_statistics
427,hist_concentration_m06_mean,window_statistics
428,hist_concentration_m06_std,window_statistics
429,hist_concentration_m06_min,window_statistics
430,hist_concentration_m06_max,window_statistics
431,hist_concentration_m06_latest_minus_mean,window_statistics
432,hist_concentration_m06_slope,window_statistics
433,hist_concentration_m12_mean,window_statistics
434,hist_concentration_m12_std,window_statistics
435,hist_concentration_m12_min,window_statistics
436,hist_concentration_m12_max,window_statistics
437,hist_concentration_m12_latest_minus_mean,window_statistics
438,hist_concentration_m12_slope,window_statistics
439,hist_concentration_m24_mean,window_statistics
440,hist_concentration_m24_std,window_statistics
441,hist_concentration_m24_min,window_statistics
442,hist_concentration_m24_max,window_statistics
443,hist_concentration_m24_latest_minus_mean,window_statistics
444,hist_concentration_m24_slope,window_statistics
445,hist_concentration_m36_mean,window_statistics
446,hist_concentration_m36_std,window_statistics
447,hist_concentration_m36_min,window_statistics
448,hist_concentration_m36_max,window_statistics
449,hist_concentration_m36_latest_minus_mean,window_statistics
450,hist_concentration_m36_slope,window_statistics
451,hist_concentration_all_mean,window_statistics
452,hist_concentration_all_std,window_statistics
453,hist_concentration_all_min,window_statistics
454,hist_concentration_all_max,window_statistics
455,hist_concentration_all_latest_minus_mean,window_statistics
456,hist_concentration_all_slope,window_statistics
457,hist_severe_fraction_m06_mean,window_statistics
458,hist_severe_fraction_m06_std,window_statistics
459,hist_severe_fraction_m06_min,window_statistics
460,hist_severe_fraction_m06_max,window_statistics
461,hist_severe_fraction_m06_latest_minus_mean,window_statistics
462,hist_severe_fraction_m06_slope,window_statistics
463,hist_severe_fraction_m12_mean,window_statistics
464,hist_severe_fraction_m12_std,window_statistics
465,hist_severe_fraction_m12_min,window_statistics
466,hist_severe_fraction_m12_max,window_statistics
467,hist_severe_fraction_m12_latest_minus_mean,window_statistics
468,hist_severe_fraction_m12_slope,window_statistics
469,hist_severe_fraction_m24_mean,window_statistics
470,hist_severe_fraction_m24_std,window_statistics
471,hist_severe_fraction_m24_min,window_statistics
472,hist_severe_fraction_m24_max,window_statistics
473,hist_severe_fraction_m24_latest_minus_mean,window_statistics
474,hist_severe_fraction_m24_slope,window_statistics
475,hist_severe_fraction_m36_mean,window_statistics
476,hist_severe_fraction_m36_std,window_statistics
477,hist_severe_fraction_m36_min,window_statistics
478,hist_severe_fraction_m36_max,window_statistics
479,hist_severe_fraction_m36_latest_minus_mean,window_statistics
480,hist_severe_fraction_m36_slope,window_statistics
481,hist_severe_fraction_all_mean,window_statistics
482,hist_severe_fraction_all_std,window_statistics
483,hist_severe_fraction_all_min,window_statistics
484,hist_severe_fraction_all_max,window_statistics
485,hist_severe_fraction_all_latest_minus_mean,window_statistics
486,hist_severe_fraction_all_slope,window_statistics
487,hist_support_common_m06_count,window_support
488,hist_support_common_m06_span,window_support
489,hist_support_common_m06_age,window_support
490,hist_support_common_m12_count,window_support
