FEWSNET_admin_code,n,f1_pooled,f1_partitioned,f1_diff,precision_pooled,precision_partitioned,recall_pooled,recall_partitioned,pct_err_all_pooled,pct_err_all_partitioned,pct_err_class1_pooled,pct_err_class1_partitioned
954,12,0.36363636363636365,0.4285714285714286,0.06493506493506496,0.4,0.375,0.3333333333333333,0.5,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5
955,12,0.36363636363636365,0.36363636363636365,0.0,0.4,0.4,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666
956,12,0.4,0.36363636363636365,-0.036363636363636376,0.5,0.4,0.3333333333333333,0.3333333333333333,0.5,0.5833333333333334,0.6666666666666666,0.6666666666666666
957,12,0.6666666666666666,0.7368421052631579,0.07017543859649122,1.0,1.0,0.5,0.5833333333333334,0.5,0.4166666666666667,0.5,0.4166666666666667
958,12,0.6666666666666666,0.8,0.13333333333333341,1.0,1.0,0.5,0.6666666666666666,0.5,0.3333333333333333,0.5,0.3333333333333333
959,12,0.2857142857142857,0.0,-0.2857142857142857,0.25,0.0,0.3333333333333333,0.0,0.4166666666666667,0.4166666666666667,0.6666666666666666,1.0
960,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
961,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.16666666666666666,0.25,1.0,1.0
962,12,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4444444444444444
963,12,0.6666666666666666,0.8,0.13333333333333341,1.0,1.0,0.5,0.6666666666666666,0.5,0.3333333333333333,0.5,0.3333333333333333
