scope,horizon_months,forecasting_horizon,target_month,group,display_group,raw_mean_abs_shap,group_share,matched_feature_count,normalization_denominator,fallback_samples,evaluated_samples
fs2,8,8-month horizon,2021-10,weather,Weather,1.965521603256302e-14,0.05837252665803377,8,3.367203230332996e-13,24,488
fs2,8,8-month horizon,2021-10,agri,Agri,1.654181220709107e-14,0.04912626614894043,24,3.367203230332996e-13,24,488
fs2,8,8-month horizon,2021-10,conflict,Conflict,1.2515592261717232e-13,0.3716910268133568,38,3.367203230332996e-13,24,488
fs2,8,8-month horizon,2021-10,econ,Econ,7.202419177497885e-14,0.21389915264442205,16,3.367203230332996e-13,24,488
fs2,8,8-month horizon,2021-10,food_prices,Food Prices,8.765115437308961e-15,0.02603084767307658,6,3.367203230332996e-13,24,488
fs2,8,8-month horizon,2021-10,geographic,Geographic,4.5423198143038205e-14,0.13489889096639449,8,3.367203230332996e-13,24,488
fs2,8,8-month horizon,2021-10,lag,Lag,4.915486682114717e-14,0.14598128909577596,6,3.367203230332996e-13,24,488
fs2,8,8-month horizon,2022-02,weather,Weather,1.6077883826404807e-15,0.0953820557421439,8,1.6856298285151035e-14,33,479
fs2,8,8-month horizon,2022-02,agri,Agri,1.6256095047868779e-15,0.09643929392367846,24,1.6856298285151035e-14,33,479
fs2,8,8-month horizon,2022-02,conflict,Conflict,4.517714076848673e-15,0.2680134155450011,38,1.6856298285151035e-14,33,479
fs2,8,8-month horizon,2022-02,econ,Econ,4.0295447015384945e-15,0.23905276433605713,16,1.6856298285151035e-14,33,479
fs2,8,8-month horizon,2022-02,food_prices,Food Prices,8.65887368170001e-16,0.05136877347102799,6,1.6856298285151035e-14,33,479
fs2,8,8-month horizon,2022-02,geographic,Geographic,1.6312841141804431e-15,0.0967759401610415,8,1.6856298285151035e-14,33,479
fs2,8,8-month horizon,2022-02,lag,Lag,2.5784701369860656e-15,0.15296775682105,6,1.6856298285151035e-14,33,479
fs2,8,8-month horizon,2022-06,weather,Weather,9.761798788439232e-16,0.09946157115321037,8,9.814643661120313e-15,23,489
fs2,8,8-month horizon,2022-06,agri,Agri,1.2152110244705403e-15,0.12381611257925461,24,9.814643661120313e-15,23,489
fs2,8,8-month horizon,2022-06,conflict,Conflict,2.882787286778857e-15,0.29372307200502024,38,9.814643661120313e-15,23,489
fs2,8,8-month horizon,2022-06,econ,Econ,1.7715526867773124e-15,0.18050096854714487,16,9.814643661120313e-15,23,489
fs2,8,8-month horizon,2022-06,food_prices,Food Prices,5.412342025847095e-16,0.05514557851231546,6,9.814643661120313e-15,23,489
fs2,8,8-month horizon,2022-06,geographic,Geographic,9.732878086959442e-16,0.09916690226375943,8,9.814643661120313e-15,23,489
fs2,8,8-month horizon,2022-06,lag,Lag,1.454390772969026e-15,0.14818579493929496,6,9.814643661120313e-15,23,489
fs2,8,8-month horizon,2022-10,weather,Weather,3.4040401330007697e-16,0.07644665143830684,8,4.452830920590239e-15,19,493
fs2,8,8-month horizon,2022-10,agri,Agri,3.21705470358775e-16,0.0722474030781595,24,4.452830920590239e-15,19,493
fs2,8,8-month horizon,2022-10,conflict,Conflict,1.095695864318393e-15,0.2460672511169938,38,4.452830920590239e-15,19,493
fs2,8,8-month horizon,2022-10,econ,Econ,1.3276258449724202e-15,0.29815321278725726,16,4.452830920590239e-15,19,493
fs2,8,8-month horizon,2022-10,food_prices,Food Prices,1.130977711428489e-16,0.025399071547917068,6,4.452830920590239e-15,19,493
fs2,8,8-month horizon,2022-10,geographic,Geographic,4.28143623155051e-16,0.09615088261610863,8,4.452830920590239e-15,19,493
fs2,8,8-month horizon,2022-10,lag,Lag,8.261583333426743e-16,0.185535527415257,6,4.452830920590239e-15,19,493
fs2,8,8-month horizon,2023-02,weather,Weather,1.2782409653695058e-14,0.10792444225812034,8,1.1843850555302079e-13,31,481
fs2,8,8-month horizon,2023-02,agri,Agri,3.3645038291395467e-15,0.02840717901184067,24,1.1843850555302079e-13,31,481
fs2,8,8-month horizon,2023-02,conflict,Conflict,9.167027061662732e-15,0.07739904365442178,38,1.1843850555302079e-13,31,481
fs2,8,8-month horizon,2023-02,econ,Econ,2.155475522072931e-14,0.18199111108405533,16,1.1843850555302079e-13,31,481
fs2,8,8-month horizon,2023-02,food_prices,Food Prices,2.11879157247214e-14,0.17889381182065245,6,1.1843850555302079e-13,31,481
fs2,8,8-month horizon,2023-02,geographic,Geographic,1.6005096041580863e-14,0.1351342282380956,8,1.1843850555302079e-13,31,481
fs2,8,8-month horizon,2023-02,lag,Lag,3.4376798021491875e-14,0.2902501839328138,6,1.1843850555302079e-13,31,481
fs2,8,8-month horizon,2023-06,weather,Weather,4.920583176518987e-15,0.15674362170448203,8,3.1392557623786775e-14,19,493
fs2,8,8-month horizon,2023-06,agri,Agri,5.047742032626283e-15,0.1607942268711966,24,3.1392557623786775e-14,19,493
fs2,8,8-month horizon,2023-06,conflict,Conflict,3.177472007798736e-15,0.1012173664178003,38,3.1392557623786775e-14,19,493
