plan_a,year_a,month_a,forecasting_horizon_months_a,source_scope_a,plan_b,year_b,month_b,forecasting_horizon_months_b,source_scope_b,comparison_group,n_common_valid,adjusted_rand_index,normalized_mutual_information
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5282,0.0534890957740017,0.03882641386337815
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5282,0.056952427208137965,0.03591098137089443
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2020_10_fs3,2020,10,12,fs3,across_years,5282,0.1971529082402676,0.09950424262222482
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2019_02_fs3,2019,2,12,fs3,across_horizons,5364,0.581321464201198,0.5175471728339078
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2019_06_fs2,2019,6,8,fs2,across_months,5364,0.050279878237652925,0.12554718889520303
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2019_06_fs3,2019,6,12,fs3,mixed,5365,0.7616500266518814,0.6357657408113633
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2019_10_fs2,2019,10,8,fs2,across_months,5364,0.546859428071626,0.41072205750481167
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2019_10_fs3,2019,10,12,fs3,mixed,0,,
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5365,0.10888545037123327,0.18545171707745756
GeoRF_2019_02_fs2,2019,2,8,fs2,GeoRF_2020_02_fs2,2020,2,8,fs2,across_years,5365,0.0022721759000733023,0.06005390351318758
