method,horizon_months,country_key,tp,fp,fn,tn,n,f1,precision,recall
correction_xgb,1,South Sudan,305,39,27,21,392,0.9023668639053254,0.8866279069767442,0.9186746987951807
correction_xgb,1,Sudan,156,29,146,68,399,0.6406570841889117,0.8432432432432433,0.5165562913907285
correction_xgb,1,Tajikistan,7,0,0,0,7,1.0,1.0,1.0
correction_xgb,1,"Tanzania, United Republic of",0,8,2,128,138,0.0,0.0,0.0
correction_xgb,1,Timor-Leste,2,1,8,3,14,0.3076923076923077,0.6666666666666666,0.2
correction_xgb,1,Togo,3,7,10,160,180,0.2608695652173913,0.3,0.23076923076923078
correction_xgb,1,Uganda,97,76,69,130,372,0.5722713864306784,0.5606936416184971,0.5843373493975904
correction_xgb,1,Yemen,615,11,41,0,667,0.9594383775351014,0.9824281150159745,0.9375
correction_xgb,1,Zambia,92,134,93,111,430,0.44768856447688565,0.40707964601769914,0.4972972972972973
correction_xgb,1,Zimbabwe,14,12,1,1,28,0.6829268292682927,0.5384615384615384,0.9333333333333333
correction_xgb,3,Afghanistan,168,118,17,33,336,0.7133757961783439,0.5874125874125874,0.9081081081081082
correction_xgb,3,Angola,9,5,0,0,14,0.782608695652174,0.6428571428571429,1.0
correction_xgb,3,Bangladesh,25,8,0,17,50,0.8620689655172413,0.7575757575757576,1.0
correction_xgb,3,Benin,0,0,1,245,246,0.0,,0.0
correction_xgb,3,Burkina Faso,21,12,22,103,158,0.5526315789473685,0.6363636363636364,0.4883720930232558
correction_xgb,3,Burundi,0,0,3,62,65,0.0,,0.0
correction_xgb,3,Cabo Verde,0,1,0,37,38,0.0,0.0,
correction_xgb,3,Cameroon,25,23,26,184,258,0.5050505050505051,0.5208333333333334,0.49019607843137253
correction_xgb,3,Central African Republic,599,161,146,137,1043,0.7960132890365449,0.7881578947368421,0.8040268456375839
correction_xgb,3,Chad,15,34,51,245,345,0.2608695652173913,0.30612244897959184,0.22727272727272727
correction_xgb,3,"Congo, The Democratic Republic of the",271,125,109,358,863,0.6984536082474226,0.6843434343434344,0.7131578947368421
correction_xgb,3,Côte d'Ivoire,0,0,1,154,155,0.0,,0.0
correction_xgb,3,Djibouti,14,15,18,25,72,0.45901639344262296,0.4827586206896552,0.4375
correction_xgb,3,Dominican Republic,4,26,22,35,87,0.14285714285714285,0.13333333333333333,0.15384615384615385
correction_xgb,3,El Salvador,3,16,9,29,57,0.1935483870967742,0.15789473684210525,0.25
